Tony Takitani	東尼瀧谷
Happy Feet Two	快樂腳2
Call Me by Your Name	以你的名字呼喚我
50/50	活個痛快
1911	1911辛亥革命
Daltry Calhoun	草地上的男人
I Spit on Your Grave	我唾棄你的墳墓
The Beautiful Country	美麗新故鄉
Meet the Robinsons	未來小子
Jupiter Ascending	朱比特崛起
Remember	我記得
Knowing	末日預言
Boy A	頭號男孩
Zero Dark Thirty	0501斬首密令
Cheap Thrills	絕命賭局
Ghostbusters	魔鬼剋星
An Unfinished Life	待續
Pitch Perfect 2	歌喉讚2
Ip Man 2	葉問2
The Odd Life of Timothy Green	小芽的奇幻人生
Funny Games	大快人心
Collateral Beauty	最美的安排
Promised Land	心靈
Bright	光靈
Blood and Chocolate	血腥巧克力
Irina Palm	洞裡春光
Morgan	魔詭
Quartet	唱快人生
What Just Happened?	顛覆瘋雲
Breaking & Entering	非法入侵
Monte Carlo	愛在蒙地卡羅
Frantz	雙面法蘭茲
Letters from Iwo Jima	來自硫磺島的信
Kung Fu Hustle	功夫
Free State of Jones	烈火邊境
Nymphomaniac	性愛成癮的女人
Snowpiercer	末日列車
Miss Peregrine's Home for Peculiar Children	怪奇孤兒院
The Guilt Trip	虎媽宅子
American Ultra	廢柴特務
Coco Before Chanel	時尚女王香奈兒
An Inconvenient Sequel: Truth to Power	不願面對的真相2
The World's Fastest Indian	超速先生
Pixels	世界大對戰
Sex Drive	性愛之旅
Interstellar	星際
Moneyball	魔球
Sin City	萬惡城市
Mirrors	鬼鏡西洋版
Che	切
3 Needles	帶原者之歌
Len and Company	搖滾不靠爸
Tomorrowland	明日世界
John Carter	異星戰場
The Long Weekend	哥哥我還要
The Gospel	福音總動員
Texas Chainsaw Massacre 3D	德州電鋸殺人狂3D
Minions	小小兵
Over Her Dead Body	我男友的死未婚妻
The Diving Bell and the Butterfly	潛水鐘與蝴蝶
Blended	當我們混在一起
45 Years	45年
The Florida Project	歡迎光臨奇幻城堡
Paranoid Park	迷幻公園
For a Good Time, Call...	高潮專線
The Choice	抉擇
Zero Days	零日網路戰
Snakes on a Plane	飛機上有蛇
Bourne 5	神鬼認證5
Heaven Is for Real	看見天堂
Are You Here	人生大逆轉
Feast of Love	愛情盛宴
The Purge: Election Year	國定殺戮日3
Terminator Salvation	魔鬼終結者4
Black Christmas	絕命聖誕
Killers	刺客公敵
Borat	芭樂特
A Quiet Place	噤界
Think Like a Man	男人的上半身去哪了
Black Book	黑書
Voice from the Stone	謎之陰
Loverboy	溺愛
Fun with Dick and Jane	我愛上流
Tammy	阿美闖天涯
People Like Us	親情可貴
Breakfast on Pluto	冥王星早餐
Tamara	魔女煞
Outlander	魔獸戰場
Marguerite	巴黎走音天后
The Hobbit: An Unexpected Journey	哈比人
The Age of Adaline	時空永恆的愛戀
December Boys	十二月的男孩
The Astronaut Farmer	太空農夫
The Expendables 2	浴血任務2
Dunkirk	敦克爾克大行動
The Railway Man	心靈勇者
Alexander and the Terrible, Horrible, No Good, Very Bad Day	亞歷山大衰到家
Sisters	瞎趴姊妹
Code Name: The Cleaner	霹靂鳥探
The Neon Demon	霓虹惡魔
The Salt of the Earth	薩爾加多的凝視
Moana	海洋奇緣
The U.S. vs. John Lennon	美國vs.約翰藍儂
Paddington	熊愛趴趴走
The SpongeBob Movie: Sponge Out of Water	海綿寶寶2
21 Jump Street	龍虎少年隊
Detachment	人間師格
[REC] 3: Genesis	錄到鬼3
High Tension	顫慄
Cinderella Man	最後一擊
Bandidas	神鬼二勢力
Short Term 12	她和她的小鬼們
The Space Between Us	我們之間的小宇宙
Sabotage	震撼殺戮
The Stone Angel	天使石像
Chappie	成人世界
Another Gay Movie	酷兒狂歡派
Middle Men	中間人
Water	禍水
Grand Piano	關鍵琴聲
Fences	籬笆內的風暴
Smashed	醉生夢醒
The Silence of Lorna	沉默的羅娜
Rio 2	里約大冒險2
X-Men: First Class	X戰警:第一課
Divergent	分歧者2
Ponyo on the Cliff	崖上的波妞
Detroit	底特律
Courageous	勇氣之名
Fido	我家有個大屍兄
Gerald's Game	傑羅德遊戲
One Chance	翻聲吧保羅
Early Man	石器小英雄
Bridesmaids	伴娘幫幫忙
Happy Death Day	忌日快樂
Monsieur Lazhar	再見了,拉札老師
Reprise	愛重奏
Five Star Day	占星奇緣
Take Me Home Tonight	今晚帶我回家
Mother!	母親!
Tyler Perry's Madea's Family Reunion	家和萬事興
The Monuments Men	大尋寶家
Hoot	夏日鴞鳴
Remember Me	記得我
Saw IV	奪魂鋸4
Finding Dory	海底總動員2
Shortbus	性愛巴士
War of the Worlds	世界大戰
Clouds of Sils Maria	星光雲寂
Whiskey Tango Foxtrot	戰地瘋雲
Haven	染血天堂
Kon-Tiki	康提基號
Phantom Thread	霓裳魅影
Our Time Will Come	明月幾時有
Scary Movie 4	驚聲尖笑4
Renaissance	黑暗文藝復興
Mongol	蒙古王
Unlocked	全面封鎖
Beverly Hills Chihuahua	比佛利拜金狗
Wild Card	拳力突襲
Free Fire	玩命鎗火
The Glass Castle	玻璃城堡
Only the Brave	無路可退
I Hope They Serve Beer in Hell	塔克,嘿咻嘿咻嘿咻!
The Greatest Showman	大娛樂家
CARS 3	汽車總動員3
Zoom	超人集中營
Knock Knock	當辣妹來敲門
ParaNorman	派拉諾曼:靈動小子
Looking for Eric	尋找艾瑞克
Suburbicon	完美社區謀殺案
Jurassic World: Fallen Kingdom	侏羅紀世界2
Cosmopolis	夢遊大都會
The Layover	獵男有轉機
Timbuktu	在地圖結束的地方
Insidious Chapter 3	陰兒房3
The Huntsman Winter’s War	狩獵者:凜冬之戰
Capital	資本遊戲
Cirque du Soleil: Worlds Away 3D	太陽馬戲團
Monster-in-Law	野獸婆婆
The Fighter	燃燒鬥魂
While We're Young	青春倒退嚕
Stop-Loss	拒絕再戰
Harry Potter and the Order of the Phoenix	哈利波特6
Or	後街天使
Drive Angry 3D	3D怒火狂飆
Underworld: Blood Wars	決戰異世界5
Free the Nipple	Lady's尖頭們
Don't Come Knocking	別來敲門
Ong-Bak: The Thai Warrior	拳霸
Jeff, Who Lives at Home	阿宅的二三事
Joe	叢林法則
Leaves of Grass	雙子陰謀
Boogeyman	惡靈空間
Diana	黛安娜
The Ex	舊情人
Persepolis	茉莉人生
The Brothers Grimm	神鬼剋星
Sanctum	3D驚天洞地
Robin Hood	羅賓漢
How to Eat Fried Worms	活蟲生吃
Greenberg	愛上草食男
Layer Cake	夾心蛋糕
Alice Through the Looking Glass	魔境夢遊2
Playing for Keeps	情場大玩咖
All Good Things	好景不常
Failure to Launch	賴家王老五
Street Fighter: The Legend of Chun-Li	春麗傳奇
The Quiet Ones	檔案
The Big Wedding	婚禮大聯矇
Mao's Last Dancer	毛的最後舞者
10 Years	十年
Son of Saul	索爾之子
Abraham Lincoln: Vampire Hunter	吸血鬼獵人
Anomalisa	安諾瑪麗莎
Three Billboards Outside Ebbing, Missouri	意外
Mission: Impossible 5	不可能的任務5
12	12怒漢:大審叛
Nothing But the Truth	捍衛真相
Intruders	入侵者
Twelve	花邊藥頭
Rock School	搖滾學校
A Million Ways to Die in the West	百萬種硬的方式
A Fantastic Woman	不思議女人
Crazy Heart	瘋狂之心
A Beautiful Life	不再讓你孤單
License to Wed	結婚糾察隊
Tideland	奇幻世界
Billy Lynn’s Long Halftime walk	比利林恩
It's Kind of a Funny Story	說來有點可笑
I Love You, Man	麻吉伴郎
A History of Violence	暴力
School for Scoundrels	無賴速成班
The Protector	拳霸2
Coraline	第十四道門
[Rec] 2	屍控
Standing Tall	烈焰青春
Taxi to the Dark Side	計程車司機之死
The Twilight Saga: Eclipse	暮光之城3
God Help the Girl	戀夏小情歌
The Jacket	戰慄時空
The Trip to Italy	同遊義大利
Book of Life	曼羅奇遇記
A Cure For Wellness	救命解藥
Green Lantern	綠光戰警
Lost in Hong Kong	港囧
Good Night. And, Good Luck	晚安!祝你好運
Midnight in Paris	午夜巴黎
Grizzly Man	灰熊人
From Mexico with Love	拳頭生涯原是夢
Welcome to the Punch	重擊戒備
The Haunting in Connecticut 2: Ghosts of Georgia	康乃狄克鬼屋事件2
Miss You Already	已經很想妳
GF。BF	女朋友男朋友
Bucky Larson: Born to be a Star	天生男優
The Other Guys	B咖戰警
We Need to Talk About Kevin	凱文怎麼了
Storks	送子鳥
Trust	迷網女孩
Star Trek Sequel	星際爭霸戰2
Flushed Away	鼠國流浪記
Dallas 362	達拉斯362
Life As We Know It	命中注定多個你
3 Days to Kill	特務殺很大
Yogi Bear	瑜珈熊
Elizabeth: The Golden Age	輝煌年代
The Clan	大犯罪家
Jackass 3D	無厘取鬧3D
Shooting Dogs	殺戮禁區
Freeheld	扣押幸福
Point Blank	活命條件
Don't Be Afraid of the Dark	別怕黑
The Good Night	夜夜成癮的男人
Billy Lynn’s Long Halftime walk	的中場戰事
Undiscovered	緣星夢
Ghost in the Shell	攻殼機動隊
The Dressmaker	惡女訂製服
21 and Over	醉後大學生
Dead And Breakfast	誰敢來早餐
Murder on the Orient Express	東方快車謀殺案
The Hottie & the Nottie	愛上野豬妹
House At The End of the Street	末路凶宅
Rabbit Hole	愛,讓悲傷終結
The Celestine Prophecy	聖境預言書
Juno	鴻孕當頭
Maniac	剝頭煞星
Last Holiday	假期
Me and Earl and the Dying Girl	我們的故事未完待續
Captain America 3: Civil War	美國隊長3
Then She Found Me	心的歸屬
Learning to Drive	愛情停看聽
Mission: Impossible Ghost Protocol	不可能的任務4
Guess Who	誰敢來晚餐
Howl	嚎囂
The Sisterhood of the Traveling Pants	牛仔褲的夏天
My Life in Ruins	旅行的意義
Mysterious Skin	神秘肌膚
Happy Feet	快樂腳
Carnage	今晚誰當家
Diary of a Wimpy Kid: Dog Days	遜咖冒險王3
Dead Snow 2: Red vs. Dead	冰血奇緣
Our Brand Is Crisis	危機
The Child	孩子
The Mummy	神鬼傳奇
Henry Poole is Here	上帝在我家
Priceless	巴黎拜金女
The X Files 2	X檔案2
The Brothers Solomon	情聖兄弟
The Man Who Knew Infinity	天才無限家
The Gambler	玩命賭徒
Lady in the Water	水中的女人
Hidden	隱藏攝影機
Palo Alto	高校寫真
Assault on Precinct 13	殲滅十三區
Wonder Wheel	愛情摩天輪
Streets of Legend	黑街神話
The Space Between Us	愛上火星男孩
Jurassic World	侏羅紀世界
The Bye Bye Man	冤親債主
Stoker	慾謀
The Pacifier	限制級褓母
I Saw the Light	音樂之光
Pride	榮耀泳隊
Masterminds	笨賊樂盜家
Mamma Mia!	媽媽咪呀!
Due Date	臨門湊一腳
Taking Woodstock	胡士托風波
The Missing Picture	遺失的映像
Thor: The Dark World	雷神索爾2
Priest	獵魔教士
Shrek Forever After	史瑞克四
The Memory of a Killer	殺手輓歌
Deuce Bigalow: European Gigolo	哈啦猛男秀2
Blue Valentine	藍色情人節
Chef	五星主廚快餐車
Out of the Furnace	逃出熔爐
600 Millas	命懸六百哩
Everybody Wants to Be Italian	義國戀
Run, Fat Boy, Run	求愛馬拉松
Slender Man	妖瘦男
My Little Pony: The Movie	彩虹小馬大電影
Same Kind of Different as Me	紳士與流浪漢
Le Week-End	愛在巴黎破曉時
Alvin and the Chipmunks - Chipwrecked	鼠來寶3
Off the Map	世界盡頭
Just Like Heaven	出竅情人
Leatherheads	愛情達陣
Ninja Assassin	忍者刺客
