I Don't Know How She Does It	凱特的慾望日記
Hidden Figures	關鍵少數
Twa-tiu-tiann	大稻埕
The Tag-Along	紅衣小女孩
Vincent Wants To Sea	文生去看海
PG Love	PG戀愛指引
ハナミズキ	花水木
The Witnesses	愛滋味
Xi You Xin Zhuan2 ：hen Xin Hua Da Mao Xian	西遊新傳2：真心話大冒險
Seven Days in Heaven	父後七日
Nanking	被遺忘的1937
Winter Sleep	冬日甦醒
New York New York	紐約紐約
Gerald's Game	傑羅德遊戲
War Game 229	燃燒吧！歐吉桑
Rainbow Song	電影情人夢
Break Up 100	不再說分手
She's From Another Planet	人魚校花
The Twilight Saga: Breaking Dawn I	暮光之城：無懼的愛：破曉I
Raging Inferno	天火
Easy Life	喜樂長安
War Room	戰爭房間
Song of the Reed	蘆葦之歌
Astro Boy	原子小金剛
You Are The One	戀者多喜歡
Who is Undercover	一號目標
Seven Psychopaths	瘋狗綁票令
The Pyramid	驚字塔
You Will Be Mine	妳是我的蕾絲邊
Ba Men Jiang Jun	門巴將軍
Cold pupil	冷瞳
God Help the Girl	戀夏小情歌
Carrie	魔女嘉莉
Life As We Know It	命中注定多個你
A Simple Life	桃姐
Laurence Anyways	雙面勞倫斯
The Rite	現代驅魔師
One Hundred Thousand Bad Jokes	十萬個冷笑話
Saving Mr. Wu	解救吾先生
Bruce Lee, My Brother	李小龍
What Women Want	我知女人心
Tiny Times 4.0	小時代：靈魂盡頭
The Martian	絕地救援
Death Note: Light up the NEW world	死亡筆記本:
88 Minutes	死亡倒數88分鐘
The Last Word	她其實沒那麼壞
The Grow 2	金箍棒傳奇2
Long Tou	龍頭
Still Alice	我想念我自己
Faster	限時絕殺
Three Billboards Outside Ebbing, Missouri	意外
Four hands / Mian Yin Zi	面引子 (電影)
Gatchaman	科學小飛俠
Scheme With Me	雙城計中計
The Wonders	蜂蜜之夏
Battlefield Orchid	湘南起義
A Pigeon Sat on A Branch Reflecting on Existence	鴿子在樹枝上沈思
劇場版 黒子のバスケ LAST GAME	影子籃球員
Bitter Harvest	烏克蘭悲歌
The Extreme Fox	非狐外傳
You Are My Sunshine	何以笙簫默
Lost in Vietnam	越囧
Planes: Fire & Rescue	飛機總動員：打火英雄
It	牠
The Guest	神秘訪客
The Angel: The Prescription for Life	天使：生命處方
The Girl Who Played with Fire	玩火的女孩
Tears in Heaven	新媽媽再愛我一次
Yes, Sir!7	報告班長7 無路可退
Lucky Star 2015	吉星高照2015
Ye Mu Jing Hun	夜幕驚魂
The Sleep Curse	失眠
Youth in Revolt	宅男卡卡
Mysterious Face	枕邊有張臉
Tom of Finland	芬蘭湯姆
Hanna	少女殺手的奇幻旅程
The Wind Rises	風起
Shanghai	上海
Selma	逐夢大道
W.	小布希傳
Apollo 18	阿波羅18：不存在的任務
Youthful Days	青春雷鋒
39 Pounds of Love	39磅的愛
Missing	謎屍
I've Loved You So Long	我一直深愛著你
I'm Chinese	我是中國人
The Wave	驚天巨浪
The Cross-generational Dairies	僑女日記
Arthur Christmas	聖誕快遞3D
The Notebook	惡童日記
Yugo&Lala	神秘世界歷險記
Aura star: attack of the temple	奧拉星：進擊聖殿
Diana	黛安娜
Endless Nights In Aurora	極光之愛
Double Xposure	二次曝光
Diary of a Wimpy Kid	遜咖冒險王
Hoodwinked Too! Hood vs. Evil	小紅帽2
Taste of China	味道中國
21	決勝21點
Curse of Lola	詛咒
Room in Rome	羅馬慾樂園
Snowden	神鬼駭客:史諾登
Takers	偷天搶地
Mr.GO	王牌巨猩
A Style of a man in beijing	北漂魚
What If	好友戀習簿
A Nightmare on Elm Street	半夜鬼上床：夢殺
Lemon Tree	檸檬樹
Monga	艋舺
2 Guns	2槍斃命
New Happy Dad and Son 2: The Instant Genius	新大頭兒子小頭爸爸2一日成才
Bangkok Traffic (Love) Story	下一站說愛你
Oba: The Last Samurai	太平洋的奇蹟
I Origins	I型起源
Middle Men	中間人
My Little Honey Moon	內人／外人－野蓮香
SeerⅡ	賽爾號2：雷伊與邁爾斯
Night of a 1000 Hours	風水逝家
The Perfect Guy	完美傢伙
The Butcher, the Chef, and the Swordsman	刀見笑
Bodyguards And Assassins	十月圍城
Feng Kuang De Chun Zei	瘋狂的蠢賊
Cooties	殭屍小屁孩
Brave Story	勇者物語
Dad, I Will Rescue You	爸爸我來救你了
Who in the mirror	半夜不要照鏡子
The Third Wish	第三個願望
Waz	要命法則
The Boss Baby	寶貝老闆
The White Haired Witch of Lunar Kingdom	白髮魔女傳之明月天國
Love Simply	簡單愛
Walking With Dinosaurs 3D	與恐龍冒險3D
Soul House	怨靈地下室
Sleepless	限時救援
Bachelors' love	光的棍
What Just Happened?	顛覆瘋雲
The Foreigner	英倫對決
Juno	鴻孕當頭
Bad Guys Always Die	壞蛋必須死
Kidnap Ding Ding Don	綁架丁丁當
Quantum of Solace	007量子危機
The Adventures of Tintin: Secret of the Unicorn	丁丁歷險記
The Ghouls	尋龍訣
The Bye Bye Man	冤親債主
Adventure at Flaming Moutains	火焰山歷險記
Rhapsody of Marriage	結婚狂想曲
One for the Money	頭號冤家
Out of Ordinary	非同小可
Eagle Eye	鷹眼
Wansei Back Home	灣生回家
The Queen of Spain	天后開麥拉
MayDay Nowhere3D	5月天諾亞方舟
Sunshine on Leith	愛在陽光燦爛時
Hello Babies	六福喜事
Mortician	臨終囧事
Perfect Mothers	愛墮落
Breakup Buddie	心花路放
Turning Point 2	Laughing Gor之潛罪犯
The Bullet Vanishes	消失的子彈
Evil Dead	屍變
After Earth	地球過後
