Green Lover	低碳愛情
Mountain Cry	喊·山
Crying Out In Love	在世界中心呼喚愛
Happiness	幸運是我
Dad's Cabin	爸爸的木房子
The Weird Bride	詭新娘
Elanne Starlight	愛在星空下
Crazy Crazy	瘋狂的瘋狂
Snow White And The Three Pigs	白雪公主和三隻小豬
Change A Life-style	換個活法
Days of Our Own	我們的十年
Battle of Cuju	蹴鞠
Who is Crying at Midnight	夜半哭聲
The Magic of Children&#160;: Magic Attack	小魔仙之黑魔法來襲
See You I See Me!	看見我和你
Crosscurrent	長江圖
Two Idiots	傻瓜向錢衝
For Love to Let Go	為愛放手
Horrible Masion In Wild Village	荒村凶間
A Woman in the Shadow	夜魔人
The Beauty	鬥豔
Silk Road Hero: Khan's Arrow	絲路英雄·雲鏑
Soul Mate	七月與安生
Cock and Bull	追兇者也
A Chinese Odyssey Part III	大話西遊3
S Strom	S風暴
My War	我的戰爭
A Dog Named Wang Zi	一條叫王子的狗
Ai De Xie Hou	愛的蟹逅
Godbeast Megazord: Return of Green Dragon	神獸金剛之青龍再現
Rise of The Rice Cooker	麥兜．飯寶奇兵
The Match	擊戰
The Nightmare Call	詭夢凶鈴
Another Woman	234說愛你
The Unvanished Vapour	誰的青春不熱血之深流不息
Three Idiots	三個孬傢伙
I Belonged to You	從你的全世界路過
L.O.R.D: Legend of Ravaging Dynasties	爵跡
Operation Mekong	湄公河行動
Ghost Hospital	幽靈醫院
The Bell Of Love	愛的鐘聲
The New Pinocchio	新木偶奇遇記
Mission Milano	偷天特務
Mind Decoding	心靈解碼
I Am NeZha	我是哪吒
Armor Hero Captor King	鎧甲勇士捕王
The Ugly Duckling	瘋狂醜小鴨
The Voice	愛情不等式
The New Orient Shenwa	新東方神娃
The Promise I Made to You	那年我對你的承諾
What's in the Darkness	黑處有什麼
Xiao Xiong De Xia Tian	小熊的夏天
Fall in Love	愛上處女座
Super Model	T台魔王
Cupid Arrow	愛神箭
Heart With The Sun	心語陽光
River of Belief	太陽河
Heartfall Arises	破地獄
Nessun Dorma	兇手還未睡
Flipped	怦然心動
Roommates in Love	異性合租的往事
So Luckly	槓上開花
Lei Feng Man	熱血雷鋒俠之激情營救
Triumphantly Join Forces	大會師
Mr. Donkey	驢得水
The Nursery	育嬰室
Mysterious Fece II	枕邊有張臉2
The Loner	何去何從
Xiaoming & His Friends	小明和他的小夥伴們
Looking For The Holy Land	我的聖途
Hide and Seek	非常父子檔
Never Give Up	不離不棄
The Song Of Cotton	盛先生的花兒
Funny Soccer	笑林足球
Curse of the Demon	詭咒
Hijack	被劫持的愛情
Shadow	獄中驚魂
96 Hours	生死96小時
PoorRich Dad	貧窮富爸爸
Escape Route	奪路而逃
The Light	減法人生
Scandal Maker	外公芳齡38
The Bride With Painted Skin	聊齋新編之畫皮新娘
The Brothers-The Drifting Singer In Beijing	兄弟之北漂歌手
I Do Want My Money Back	非常綁架
De-Single Bible	脫單寶典
Last Testimony	最後證言
Hong Yan Rong	紅顏容
I Am Not Madame Bovary	我不是潘金蓮
The Warriors Gate	勇士之門
Special Female Force	辣警霸王花
Wu Lin Tan Mi	武林探秘
Sky On Fire	沖天火
MIN & MAX	最萌身高差
Perfect Imperfection	我是處女座
Soul House	怨靈地下室
An Flying Arrow	駱駝客2之箭在弦
Lost in Vietnam	越囧
The Elegy	熱土悲歌
My Love	愛你的人
Sword Master	三少爺的劍
Super Express	超級快遞
Ghost	食人島
The heart of desert	沙漠之心
Yellow River Aria	老腔
Prince Orient House	東宮皇子
48Hours	試睡員48小時
Suddenly Seventeen	28歲未成年
Tharlo	塔洛
Foolish Plan	呆呆計劃
Room 704	淒靈室
Somewhere Connected	那美
Rescripts Bout Peony Fairy	牡丹仙子之皇帝昭曰
Good Night	愛上試睡師
Young	先鋒之那時青春
Revenge of Gold	流金
The Great Wall	長城
The Wasted Times	羅曼蒂克消亡史
Blood of Youth	少年
My Circle of Friends	我的朋友圈
Flying Girl	飛天窯女
Five Besties: Divorce Busting	五女鬧京城
Masters In Forbidden City	我在故宮修文物
This is Life	生門
Kunfu Heros	功夫四俠
Sweet of the Song	甜水謠
Spring of the Life	大山裡的春天
See You Tomorrow	擺渡人
