哈啦十誡	The Ten
夥伴	The Company You Keep 
畢業舞會	Prom
王者之劍3D	Conan the Barbarian
東尼瀧谷	Tony Takitani 
快樂腳2	Happy Feet Two
以你的名字呼喚我	Call Me by Your Name 
活個痛快	50/50
1911辛亥革命	1911
草地上的男人	Daltry Calhoun
我唾棄你的墳墓	I Spit on Your Grave 
美麗新故鄉	The Beautiful Country
未來小子	Meet the Robinsons
朱比特崛起	Jupiter Ascending 
我記得	Remember
末日預言	Knowing
頭號男孩	Boy A
0501斬首密令	Zero Dark Thirty 
絕命賭局	Cheap Thrills
魔鬼剋星	Ghostbusters
待續	An Unfinished Life 
歌喉讚2	Pitch Perfect 2 
葉問2	Ip Man 2
小芽的奇幻人生	The Odd Life of Timothy Green
大快人心	Funny Games
最美的安排	Collateral Beauty
心靈	Promised Land
光靈	Bright
血腥巧克力	Blood and Chocolate
洞裡春光	Irina Palm 
魔詭	Morgan
唱快人生	Quartet
顛覆瘋雲	What Just Happened?
非法入侵	Breaking & Entering
愛在蒙地卡羅	Monte Carlo
雙面法蘭茲	Frantz
來自硫磺島的信	Letters from Iwo Jima 
功夫	Kung Fu Hustle 
烈火邊境	Free State of Jones
性愛成癮的女人	Nymphomaniac
末日列車	Snowpiercer
怪奇孤兒院	Miss Peregrine's Home for Peculiar Children
虎媽宅子	The Guilt Trip
廢柴特務	American Ultra 
時尚女王香奈兒	Coco Before Chanel
不願面對的真相2	An Inconvenient Sequel: Truth to Power 
超速先生	The World's Fastest Indian
世界大對戰	Pixels
性愛之旅	Sex Drive
星際	Interstellar
魔球	Moneyball
萬惡城市	Sin City
鬼鏡西洋版	Mirrors
切	Che
帶原者之歌	3 Needles
搖滾不靠爸	Len and Company 
明日世界	Tomorrowland
異星戰場	John Carter
哥哥我還要	The Long Weekend 
福音總動員	The Gospel 
德州電鋸殺人狂3D	Texas Chainsaw Massacre 3D
小小兵	Minions
我男友的死未婚妻	Over Her Dead Body 
潛水鐘與蝴蝶	The Diving Bell and the Butterfly
當我們混在一起	Blended
45年	45 Years
歡迎光臨奇幻城堡	The Florida Project 
迷幻公園	Paranoid Park
高潮專線	For a Good Time, Call...
抉擇	The Choice
零日網路戰	Zero Days
飛機上有蛇	Snakes on a Plane 
神鬼認證5	Bourne 5
看見天堂	Heaven Is for Real 
人生大逆轉	Are You Here
愛情盛宴	Feast of Love
國定殺戮日3	The Purge: Election Year
魔鬼終結者4	Terminator Salvation
絕命聖誕	Black Christmas
刺客公敵	Killers
芭樂特	Borat
噤界	A Quiet Place 
男人的上半身去哪了	Think Like a Man
黑書	Black Book 
謎之陰	Voice from the Stone 
溺愛	Loverboy
我愛上流	Fun with Dick and Jane
阿美闖天涯	Tammy
親情可貴	People Like Us
冥王星早餐	Breakfast on Pluto
魔女煞	Tamara
魔獸戰場	Outlander
巴黎走音天后	Marguerite
哈比人	The Hobbit: An Unexpected Journey
時空永恆的愛戀	The Age of Adaline 
十二月的男孩	December Boys
太空農夫	The Astronaut Farmer
浴血任務2	The Expendables 2
敦克爾克大行動	Dunkirk
心靈勇者	The Railway Man
亞歷山大衰到家	Alexander and the Terrible, Horrible, No Good, Very Bad Day 
瞎趴姊妹	Sisters
霹靂鳥探	Code Name: The Cleaner
霓虹惡魔	The Neon Demon
薩爾加多的凝視	The Salt of the Earth 
海洋奇緣	Moana
美國vs.約翰藍儂	The U.S. vs. John Lennon
熊愛趴趴走	Paddington
海綿寶寶2	The SpongeBob Movie: Sponge Out of Water
龍虎少年隊	21 Jump Street
人間師格	Detachment
錄到鬼3	[REC] 3: Genesis
顫慄	High Tension
最後一擊	Cinderella Man
神鬼二勢力	Bandidas
她和她的小鬼們	Short Term 12 
我們之間的小宇宙	The Space Between Us
震撼殺戮	Sabotage
天使石像	The Stone Angel
成人世界	Chappie
酷兒狂歡派	Another Gay Movie 
中間人	Middle Men
禍水	Water
關鍵琴聲	Grand Piano 
籬笆內的風暴	Fences
醉生夢醒	Smashed
沉默的羅娜	The Silence of Lorna  
里約大冒險2	Rio 2
X戰警:第一課	X-Men: First Class
分歧者2	Divergent
崖上的波妞	Ponyo on the Cliff 
底特律	Detroit
勇氣之名	Courageous
我家有個大屍兄	Fido
傑羅德遊戲	Gerald's Game
翻聲吧保羅	One Chance
石器小英雄	Early Man 
伴娘幫幫忙	Bridesmaids
忌日快樂	Happy Death Day
再見了,拉札老師	Monsieur Lazhar
愛重奏	Reprise
占星奇緣	Five Star Day
今晚帶我回家	Take Me Home Tonight
母親!	Mother!
家和萬事興	Tyler Perry's Madea's Family Reunion
大尋寶家	The Monuments Men 
夏日鴞鳴	Hoot
記得我	Remember Me
奪魂鋸4	Saw IV
海底總動員2	Finding Dory
性愛巴士	Shortbus
世界大戰	War of the Worlds
星光雲寂	Clouds of Sils Maria
戰地瘋雲	Whiskey Tango Foxtrot
染血天堂	Haven
康提基號	Kon-Tiki
霓裳魅影	Phantom Thread
明月幾時有	Our Time Will Come
驚聲尖笑4	Scary Movie 4
黑暗文藝復興	Renaissance
蒙古王	Mongol
全面封鎖	Unlocked
比佛利拜金狗	Beverly Hills Chihuahua
拳力突襲	Wild Card
玩命鎗火	Free Fire
玻璃城堡	The Glass Castle 
無路可退	Only the Brave 
塔克,嘿咻嘿咻嘿咻!	I Hope They Serve Beer in Hell
大娛樂家	The Greatest Showman 
汽車總動員3	CARS 3
超人集中營	Zoom
當辣妹來敲門	Knock Knock 
派拉諾曼:靈動小子	ParaNorman
尋找艾瑞克	Looking for Eric 
完美社區謀殺案	Suburbicon
侏羅紀世界2	Jurassic World: Fallen Kingdom
夢遊大都會	Cosmopolis
