哈啦十誡	The Ten
解構新鮮人	Poison Friends 
烈火焚身	Incendies
夜行動物	Nocturnal Animals 
投名狀	The warloads
再見鍾情	A Lot Like Love
最炎熱的州	The Hottest State
更好的世界	In a Better World
裸體舞台	Mrs. Henderson Presents
錢藏凶機	The Drop 
我的左派哥哥	My Brother Is An Only Child
皮相獵人	Fur
風起	The Wind Rises
第44個孩子	child 44
打獵季節	Open Season
蠢蛋搞怪秀2	Jackass 2
居家風暴	The Details
世紀戰魂	Centurion 
噬血童話	Let Me In
奪魂鋸8	Saw: Legacy 
尋秘街拍客	Finding Vivian Maier 
遲來的	Philomena
尖峰時刻3	Rush Hour 3
惡棍特工	Inglourious Basterds
屁王蜘蛛	Big Ass Spider
搖滾女王	Ricki and the Flash
靈魂冷凍庫	Cold Souls
伴唱人生	Twenty Feet from Stardom
星際大戰:威脅潛伏3D	Star Wars: Episode I The Phantom Menace 3D
顫慄柏林	Berlin Syndrome
三隻猴子	Three Monkeys 
超世紀封神榜	Clash of the Titans
星際大戰外傳:俠盜一號	Rogue One: A Star Wars Story 
育陰房	Shut In 
怒火邊界2	Sicario 2: Soldado
破處女王	Easy A
老娘叫譚雅	I, Tonya
太極俠	Man of Tai Chi 
老闆不是人	Horrible Bosses
生命中最抓狂的小事	Wild Tales
魔角	Horns
分居風暴	A Separation
百萬殺人遊戲	13 Tzameti
求愛女王	All About Steve
八十八分鐘	88 Minutes
藍色茉莉	Blue Jasmine
同盟鶼鰈	Allied
性愛搖滾樂	9 Songs
毀滅戰士	Doom
萬惡夜總會	We Own the Night
浪人47	47 Ronin
肉腳擂台	Here Comes the Boom
暮光之城4:破曉I	The Twilight Saga: Breaking Dawn - Part 1
失樂園	Paradise Lost
美國小三	Mistress America 
我和我的冠軍女兒	Dangal
黑社會2	Election 2
歡樂合唱團3D	Glee: The 3D Concert Movie
月光光心慌慌2	H2
第六感追緝令2	Basic Instinct 2: Risk Addiction
烏克蘭悲歌	Bitter Harvest
驚奇四超人	Fantastic Four
鎖命橫財	Good People
雙鼠記	The Tale of Despereaux
當麥克先生遇見夢露小姐…	Mister lonely
攻敵必救	Miss Sloane
賭國大丈夫	Mississippi Grind 
愛在彈指間	Populaire
獨步舞林	Stomp the Yard
魔物戀人	Spring
諜海無間	The November Man 
她其實沒那麼壞	The Last Word 
歐吉桑鄰好	St. Vincent 
封神傳奇	League of Gods
生存者	The Bad Batch 
赴湯蹈火	Hell Or High Water
月光下的藍色男孩	Moonlight
地球迴聲	Earth to Echo 
倒數行動	Survivor
虛擬天后	The Congress
我想念我自己	Still Alice
帝國警戒	Empire State
愛睡在一起	Sleeping With Other People
恐怖拜訪	The Invasion 
2012	2012
謊言對決	House of Lies
魔髮奇緣	Tangled
雪季過客	Snow Cake
惡鄰纏身2	Neighbors 2
冰旅記事	Encounters at the End of the World 
活著的男孩	The Only Living Boy in New York
星際大奇航	The Hitchhiker's Guide to the Galaxy
綁架海尼根	Kidnapping Mr. Heineken
冰封之地	The Frozen Ground
香水	Perfume: The Story of a Murderer 
怪胎鎮	Weirdsville
環太平洋	Pacific Rim
腦筋急轉彎	Inside Out 
半夜鬼上床	A Nightmare on Elm Street
狄倫犬:惡夜偵探	Dylan Dog: Dead of Night
PS.我愛	P.S. I Love You
降魔戰警	R.I.P.D.
大事件	Breaking News 
女神賽爾瑪	Thelma
銀翼殺手2	Blade Runner 2
超人特攻隊2	Incredibles 2
多虧有你	Because of Winn-Dixie
南國傳奇	Southland Tales
沙漠神兵	Special Forces
全面攻佔2	London Has Fallen
粉紅豹2	The Pink Panther 2
雪地迷蹤	The Captive 
天者天下	Kingdom of Heaven
相信你的男人	Trust the Man
福爾摩斯	Sherlock Holmes 
自殺突擊隊	Suicide Squad
不請自來	The Uninvited 
派特的幸福劇本	Silver Linings Playbook
昨夜風流	About Last Night 
姊妹	The Help
飢餓遊戲3	The Hunger Games: Mockingjay - Part 1
蘇格蘭之王	The Last King of Scotland
勝負反手拍	Battle of the Sexes 
陌生之地	Strangrland
吸血鬼學院	Vampire Academy
古墓奇兵	Tomb Raider
當幸福來敲門	The Pursuit of Happyness
維納斯	Venus
惡劣的善意	The Vicious Kind 
快克殺手2	Crank: High Voltage
麥可—我的直男前男友	I Am Michael 
國王贖金	King's Ransom
一個人的旅行	Eat, Pray, Love
我就要你好好的	Me Before You
戀愛沒有假期	The Holiday
直播風暴	The Circle
艾莉塔:戰鬥天使	Alita: Battle Angel
遺落戰境	Oblivion
怪物遊戲	Goosebumps
布偶歷險記2	Muppets Most Wanted
15:17巴黎列車	The 15:17 to Paris
真情旅程	The Lucky Ones
聯合縮小兵	The Ant Bully
攻無不克	When the Game Stands Tall 
凱文怎麼了？	We Need to Talk About Kevin
骸骨之城	The Mortal Instruments: City of Bones
少年彌賽亞	The Young Messiah 
天堂此時	Paradise Now 
瘋婆娘日記	Diary of a Mad Black Woman
亡命千萬里	The Way Back
輕狂時代	Ten Thousand Saints 
神鬼大盜	Mortdecai
風流才子	The Libertine
血色入侵	Let the Right One In
樓上鄰居外星人	Aliens in the Attic
霍頓的鐵道人生	O'Horten
防火牆	Firewall
月光魔法	Magic in the Moonlight
屍速列車	Train to Busan
時間殺人	Timecrimes
歌喉讚	Pitch Perfect
神鬼認證3	The Bourne Ultimatum
賓漢	Ben-Hur 
所羅門傳奇	Solomon Kane
日式牛仔一品鍋	Sukiyaki Western Django 
牛津殺人魔	The Oxford Murders 
愛與親愛的	The Other Woman 
驚奇四超人2	Fantastic Four: Rise of The Silver Surfer
女狼嗨到趴	Rough Night
名牌冤家	Did You Hear About the Morgans?
暴力年代	A Most Violent Year
沉默	Silence
閨蜜假期	Girls Trip 
春心蕩漾	Prime
夏綠蒂的網	Charlotte's Web
柯波帝:冷血污名	Infamous
真愛無韁	Flicka
氣象戰	Geostorm
空戰英豪	Flyboys
赤壁	Red Cliff
快樂結局	Happy Endings
珍奧斯汀讀書會	The Jane Austen Book Club
天堂邊緣	The Edge of Heaven 
穿著Prada的惡魔	The Devil Wears Prada
天龍特攻隊	The A-Team
雙面瑪琳達	Melinda and Melinda 
死神魔菇	Shrooms
巡邏驚很大	Neighborhood Watch
倫敦大道	London Boulevard 
絕地再生	The Island
奪魂鋸3D	Saw VII 3D
感謝您為國效力	Thank You for Your Service 
神鬼奇航3	Pirates of the Caribbean: At Worlds End
糯米歐與茱麗葉	Gnomeo & Juliet
鬼入鏡:詛咒	Paranormal Activity: The Marked Ones
渦輪方程式	Turbo
跳越時空的情書	The Lake House 
私刑教育	The Equalizer 
美麗誘惑	A Good Woman
派對X檔案	Project X
微光城市	City of Ember 
金錢世界	All The Money In The World
愛重逢以後	Valley of Love
007空降危機	Skyfall
加菲貓2	Garfield's A Tale of Two Kitties
追憶燦爛年華	My Golden Days
回魂	The Return
撒哈拉	Sahara
Kuso小紅帽2	Hoodwinked Too! Hood vs. Evil
亞瑟:王者之劍	King Arthur: Legend of the Sword 
異人族	Inhumans
柏靈頓2:熊熊出任務	Paddington 2
移動城市:致命引擎	Mortal Engines
最後尖叫女王	Final Girl
雙面特工	Breach
高年級實習生	The Intern
我的父親羅慕勒斯	Romulus, My Father
約會喔麥尬	Date Night
高校女特務	D.E.B.S. 
西西里的漫長等待	The Wait
祖父母囧很大	Parental Guidance
孤單男人	Solitary Man
911絕命電梯	9/11
貓狗大戰2	Cats & Dogs: The Revenge of Kitty Galore
卡內陰	Incarnate
悲慘世界	Les Miserables
第九禁區	District 9
狼心仁術	The Good Doctor 
卡特教頭	Coach Carter
殺手沒有假期	In Bruges
誰來叩應	Talk to Me
神偷獵人斷指客	The Good, the Bad and the Weird 
腦波遊戲	MindGamers
熾天之翼	Red Tails
非洲大貓	African Cats
無人知曉夏日清晨	Nobody Knows 
六人行不行	And If We All Lived Together
真情不打烊	10 Items or Less
百萬殺人實驗	百萬殺人實驗
愛墮落	Adore
奮戰不懈	Forever Strong
速食遊戲	The Founder
深海挑戰3D	James Cameron's Deepsea Challenge 3D 
納尼亞傳奇	The Chronicles of Narnia: The Lion, The Witch and The Wardrobe 
左右逢緣	In the Land of Women
金盞花大酒店	The Best Exotic Marigold Hotel
登堂入室	In the House
明星夢工廠	Factory Girl
直搗蜂窩的女孩	The Girl Who Kicked the Hornet's Nest
這該死的愛	Charlie Countryman
失序人生	The Life Before Her Eyes
神偷奶爸3	Despicable Me 3
頑劣份子	Hesher 
超人高校	Sky High
上帝之子	Son of God 
捍衛任務2	John Wick 2 
越夜越狂	The Overnight
危險療程	A Dangerous Method
金龜車賀比	Herbie: Fully Loaded
即刻救援2	Taken 2
復仇者聯盟	The Avengers
歌神	El Cantante
機戰未來	Stealth
神鬼奇航4	Pirates of the Caribbean: On Stranger Tides
人神之間	Of Gods and Men
氣男孩	Steamboy 
海明威好賊	Dom Hemingway
末日碉堡	The Divide
家有兩個爸	Daddy's Home 
疏離世界	Disconnect
300壯士2	300: Rise of an Empire 
美麗魔物	Beautiful Creatures
諜對諜	Syriana
原罪犯美國版	Oldboy 
厲陰宅2	The Conjuring 2
所向披靡	Invincible
別讓我走	Never Let Me Go
人形蜈蚣	The Human Centipede
吟遊戀人	Once
尋找左宗棠	The Search for General Tso 
地獄	Inferno
賈伯斯	Jobs
梵谷:星夜之謎	Loving Vincent 
野蠻遊戲	Jumanji: Welcome to the Jungle
鼠來寶4	Alvin and the Chipmunks: The Road Chip 
刑前教育	Get Hard
樂動	Bravetown
玩命左輪	Revolver
夏日大作戰	Summer Wars
牛仔褲的夏天2	The Sisterhood of the Traveling Pants 2
風暴佳人	Agora
母親劫	Mother's Day
綠街大火拼	Green Street Hooligans
3人擠不擠	Three
愛情無時差	It's Already Tomorrow in Hong Kong 
舊愛找麻煩	Ghosts of Girlfriends Past
激樂人心	Get on Up 
狼圖騰	Wolf Totem
鳴梁:怒海交鋒	Roaring Currents
黑暗騎士:黎明昇起	The Dark Knight Rises
勾引陌生人	Perfect Stranger
追風箏的孩子	The Kite Runner
我家也有大明星	Entourage
瞞天過海:八面玲瓏	Ocean's 8
鼠來寶2	Alvin and the Chipmunks: The Squeakuel
天衣無縫	Flawless
大亨小傳	The Great Gatsby 
玩命快遞3	Transporter 3
送行者	Departures
計程人生	Taxi
阿呆與阿瓜2	Dumb and Dumber To
逃出絕命鎮	Get Out 
美麗壞姐妹	Pretty Persuasion 
愛,不散	Love Is Strange 
全民情獸	Zookeeper
寫意人生	Writers
嫩男謝利	Cheri
下流高校	Dirty Deeds
獅子王3D	The Lion King 3D
池畔謎情	A Bigger Splash 
他們的美好時光	Their Finest
潛意識夢遊	The Science of Sleep
莎士比亞的秘密	Anonymous
戰神世紀	Immortals
歐吉桑卡好	Old Dogs
刺殺據點	Vantage Point
歌喉讚3	Pitch Perfect 3
龍紋身的女孩	The Girl with the Dragon Tattoo 
我家也有消防狗	Firehouse Dog
5X2愛情賞味期	5x2 
終極	Precious Cargo
愛在紐約破曉時	Heights 
紐約二日情	2 Days in New York 
雪莉寶貝	Sherrybaby
怪獸高中	Freaks of Nature
小黃狗的窩	The Cave Of The Yellow Dog 
異星智慧	Life
超危險人物	Starred Up
最後一次自由	Desierto
功夫貓熊	Kung Fu Panda
尼斯湖水怪	The Water Horse: Legend of the Deep
金爆內幕	Gold
哭聲	The Wailing 
奇異博士	Doctor Strange
奧瑪的抉擇	Omar
曼哈頓奇緣	Enchanted
終極救援	Extraction
我的意外老公	The Accidental Husband
移動世界	Jumper
超完美告別	Death at a Funeral
捍衛任務	John Wick 
玩命快遞4	The Transporter Legacy
笑翻清真寺	Looking for Comedy in the Muslim World
小孩好黑	Little Man
依達的抉擇	Ida
全面逃殺	Gunman
無人出席的告別式	Still Life 
赤眼玄機	Red Eye
愛在不言中	Enough Said 
ID4星際終結者2	Independence Day 2: Resurgence
我的明星老爸	Somewhere
嫁期	The Wedding Date
史密斯任務	Mr. and Mrs. Smith
熾色炫風	Redline
樂高蝙蝠俠電影	The Lego Batman Movie
生命中的美好缺憾	The Fault in Our Stars 
浴血任務3	The Expendables 3
居住正義	99 Homes 
菜鳥搶銀行	30 Minutes or Less
忍者龜2:出神入化2	Now You See Me: The Second Act
鐵腕豪情	Appaloosa
驚夜誰保姆	The Sitter
金剛	King Kong
滑輪風暴	Skateland
求生127小時	127 Hours
查泰萊夫人	Lady Chatterley 
巴黎小情人	The Beautiful Person
王者之劍:太空戰士15電影版	Kingsglaive: Final Fantasy XV
愛在山谷下	Down in the Valley
黑帽	Blackhat
颱風	Typhoon
陌路狂殺2	The Strangers: Prey at Night
叛諜風暴	Rosewater
動物方城市	Zootopia
大獄言家	A Prophet 
不公平的戰爭	Fair Game
愛情限時簽	The Proposal 
百老匯熟男日記	The Humbling
奪命潘朵拉	Wish Upon
神出鬼沒	Exists
39號特案	Case 39
九度空間	The Nines
雙面危敵	Enemy
喋血街頭	Postal
丹麥女孩	The Danish Girl
格雷的五十道陰影2	Fifty Shades Darker
仙履奇緣	Cinderella
麻辣女王2	Miss Congeniality 2: Armed and Fabulous
蜜妮初體驗	Mini's First Time
別跟山過不去	A Walk in the Woods
驅魔	The Exorcism of Emily Rose
問鼎奧斯卡	For Your Consideration
極凍之城	Atomic Blonde
敢愛敢當	Dare
美國隊長2	Captain America: The Winter Soldier
榮耀大道	Main Street
魔法師的學徒	The Sorcerer's Apprentice
星際特工瓦雷諾:千星之城	Valerian and the City of a Thousand Planets 
暮光之城2	The Twilight Saga: New Moon
會計師	The Accountant 
我們買下了動物園	We Bought a Zoo
變裝皇后萬萬歲	Viva 
鬼次元	The Apparition
腥紅山莊	Crimson Peak 
藍色是最溫暖的顏色	Blue is the Warmest Color 
猜火車2	T2: Trainspotting
9	9
少年Pi的奇幻漂流	Life of Pi
凝視瑪莉娜	Marina Abramovic: The Artist Is Present
山	The Hills Have Eyes
愛的餘燼	The Broken Circle Breakdown 
簡愛	Jane Eyre
愛無悔	No Regret 
魔鬼總裁	Misconduct
尖叫旅社3	Hotel Transylvania 3
東京狂想曲	TOKYO ! 
女生殺人宿舍	Sorority Row 
立體小奇兵	The Adventures of Shark Boy and Lava Girl in 3-D
人之初	I Origins 
插旗攻城市	Where to Invade Next
巴黎妓院回憶錄	House of Pleasures
老闆我最大	The Boss of It All
逆轉王牌	Runner Runner 
我恨情人節	I Hate Valentine's Day
紅氣球	The Flight of the Red Balloon
末路殺神	Only God Forgives
惡夜特警隊	Brooklyn's Finest
黑海	Black Sea 
七生有幸	Seven Pounds
愛情避風港	Safe Haven
隨心所欲	Wanderlust
海邊	By the Sea
奇幻精靈事件簿	The Spiderwick Chronicles
異形戰場2	Alien vs. Predator 2
愛慾癡狂	Asylum
黑綿羊	Black Sheep 
醜聞筆記	Notes on a Scandal
鼠膽妙算	G-Force
路易的第9條命	The 9th Life of Louis Drax
琴謎變奏曲	The Page Turner
怪怪屋	Monster House
巴菲特報告	I.O.U.S.A.
偷書賊	The Book Thief
聖誕佳節	Nothing Like the Holidays
恐怖解剖室	Pathology
有人在家嗎?	Is Anybody There?
強森好屌	Bad Johnson 
心靈小屋	The Shack
垂死的肉身	Elegy
烏龜也會飛	Turtles Can Fly 
非普通教慾	Dogtooth
死侍2	Deadpool 2
希區考克	Hitchcock
光榮時刻	Outside The Law
亞當等大人2	Grown Ups 2
A片女神	Lovelace
為妳說的謊	The Light Between Oceans
壁花男孩	The Perks of Being a Wallflower
101夜情	Sex and Death 101 
死期倒數24小時	My Soul to Take
我的生存之道	How I Live Now 
蜂電影	Bee Movie
那時候,我只剩下勇敢	Wild
一代宗師	The Grandmasters
單身動物園	The Lobster 
玩命車手	Vehicle 19
哈利波特7.1	Harry Potter and the Deathly Hallows - Part 1
國定殺戮日2	The Purge: Anarchy 
三個臭皮匠	The Three Stooges
最後的球季	The Final Season
湖濱疑雲	Jindabyne
愛•慕	Amour
林肯傳	Lincoln
乒乓特派員	Balls of Fury
分手的那一天	(500) Days of Summer
絕命終結站5	Final Destination 5
神鬼制裁2	Punisher: War Zone
天方夜	Bedtime Stories
變形金剛5	Transformers: The Last Knight
堅果任務	The Nut Job 
蒙面俠蘇洛2	The Legend of Zorro
夢魘情人	Beastly
軍犬麥斯	Max
決勝女王	Molly's Game 
我的火星小孩	Martian Child
馬克白	Macbeth
我是傳奇	I Am Legend
愛國者行動	Patriots Day 
波灣陰謀	Redacted
異形:聖約	Alien: Covenant
巴黎電幻世代	Eden
愛你愛到快抓狂	The Upside of Anger
迷走星球	Zathura
好萊塢的黑名單	Trumbo
讓愛飛起來	Ricky
如果我想吹口哨	If I Want to Whistle, I Whistle 
門當父不對3	Meet the Fockers
鬼哭神嚎	Poltergeist
雄辯天下	The Great Debaters
紅潮入侵	Red Dawn
字畫情緣	Words and Pictures
薩拉邦德舞曲	Saraband
魔髮精靈	Trolls
贖罪	Atonement
怪物	Victor Frankenstein
死亡筆記本	Death Note 
慾望城市電影版	Sex and the City: The Movie
關鍵少數	Hidden Figures
混沌理論	Chaos Theory
賭城最後一夜	Last Vegas
白鯨傳奇	In the Heart of the Sea
獨領風潮	Take the Lead
我愛故我在	I Am Love
想愛趁現在	A Little Bit of Heaven
瘋一樣的男子	Like Crazy
人生剩利組	Brad's Status
真愛之吻	Penelope
魔境冒險3D	The Nutcracker in 3D
夢想奔馳	Dreamer: Inspired by a True Story
託陰	The Boy 
愛與黑暗的故事	A Tale of Love and Darkness 
納尼亞傳奇3	The Chronicles of Narnia: 
星際禁區	The Last Days on Mars 
海邊的曼徹斯特	Manchester by the Sea 
放浪春假	Spring Breakers
危牆狙擊	The Wall 
伴郎友沒友	The Wedding Ringer
我的老爸喵星人	Nine Lives 
肌膚之侵	Under the Skin 
魅惑	The Beguiled
魔鏡魔鏡	Mirror Mirror
通往關達那摩之路	The Road to Guantanamo
西遊：降魔篇	Journey to the West: Conquering the Demons
竊盜	The Town
驚狂十一月	November
巴黎窈窕熟女	My Old Lady
馬達加斯加2	Madagascar: Escape 2 Africa
凸種高材生2	Van Wilder 2: The Rise of Taj
人形蜈蚣2	The Human Centipede II 
水性楊花	Easy Virtue
別相信任何人	Before I go to sleep
沉默一瞬	The Look of Silence
蝙蝠俠:致命玩笑	Batman: The Killing Joke 
匹茲堡的秘密	The Mysteries of Pittsburgh
沉默的雙眼	Secret in Their Eyes 
貧民百萬富翁	Slumdog Millionaire
我是女生,也是男生	XXY
金臂美國夢	Million Dollar Arm 
彗星來的那一夜	Coherence
驅魔神探	Constantine
崔斯坦與依索德	Tristan & Isolde
玩命記憶	Unknown
功夫拳霸	Dynamite Warrior 
快樂告別的方法	The Farewell Party
命運鞋奏曲	The Cobbler
樂高炫風忍者電影	The Lego Ninjago Movie
扭轉時光機2	Hot Tub Time Machine 2
震撼效應	In the Valley of Elah
哈利波特4	Harry Potter and the Goblet of Fire
我的夏日戀曲	My Summer of Love 
蜜月玩很大	Random Tropical Paradise 
七夜怪譚	Rings
蘋果	Lost in Beijing
陰宅	The Amityville Horror 
迷宮	Pan's Labyrinth
實習大叔	The Internship 
里約大冒險	Rio
遇上比爾	Meet Bill
幸運之吻	Just My Luck
梅格漢的心靈鑰匙	Manglehorn
怪物的孩子	The Boy and The Beast
美女與野獸3D	Beauty and the Beast 3D
合法入侵	Lakeview Terrace
沒問題先生	Yes Man
魔鬼命令4	Universal Soldier: Day of Reckoning 
皮巴弟先生與薛曼的時光冒險	Mr. Peabody & Sherman
小紅帽	Hoodwinked
愛在回家時	A Family Man
追兇	November Criminals 
寵物當家	The Secret Life of Pets 
巧克力冒險工廠	Charlie and the Chocolate Factory
雙面諜	The Double
雙面人質	I Know Who Killed Me
從此沒有過著幸福快樂的日子	Happily N'Ever After 
衝刺終點線	McFarland, USA 
激情	Passion
黑眼圈	I Don't Want to Sleep Alone 
踹球叫練	Kicking & Screaming
控制	Gone Girl 
神偷奶爸2	Despicable Me 2
關鍵真相	Truth
想飛的鋼琴少年	Vitus
口是心非	Duplicity
血戰12輪	12 Rounds
凱爾斯的秘密	The Secret of Kells
搖滾時代	Rock of Ages 
反恐戰場	The Kingdom
三個傻瓜	3 Idiots
終極災難電影	Disaster Movie
鬼水	Dark Water
聖誕快樂又瘋狂3	The Santa Clause 3
龐貝:最後之日	Pompeii
星際爭霸戰3	Star Trek 3
猩球崛起3	War for the Planet of the Apes
猛男姦獄	Big Stan
決戰異世界3	Underworld: Rise of the Lycans
反恐精英	The Raid 
丑男大丈夫	Klown
光榮戰警	Pride and Glory
模範大哥哥	Role Models
歡樂好聲音	Sing
戰爭製造公司	War, Inc.
飆風天王	The Dukes of Hazzard
大英雄天團	Big Hero 6
刺客任務	Hitman: Agent 47
大法官	The Judge
星際大戰第三部曲	Star Wars: Episode III - Revenge of the Sith 
轟炸街頭	Bomb the System
熱街勁舞	Rize 
當櫻花盛開	Cherry Blossoms 
婦仇者聯盟	The Other Woman 
聖杯騎士	Knight of Cups
冰原歷險記3	Ice Age: Dawn of the Dinosaurs
別闖陰陽界	Flatliners
街舞開戰	Planet B-Boy
一路靠北	Ride Along 
逐愛角落	The Refuge
惡棍狙擊	The Debt
充氣娃娃之戀	Lars and the Real Girl
妳的樣子	Away From Her
冤家囍相逢	You Again
夢遊亞馬遜	Embrace of the Serpent
寵物情人	Unleashed
命運規劃局	The Adjustment Bureau
前陷風暴	Beaufort
星塵情緣	Stardust
蟻人	Ant-Man 
玩命再劫	Baby Driver 
地鐵迷宮	Kontroll
英倫對決	The Foreigner
撕眠	Before I Wake 
老男孩	Oldboy
三更2	Three...Extremes 
尖叫旅社2	Hotel Transylvania 2 
甜心大姐頭	The Boss 
人生雙告急	The Skeleton Twins 
鬼哭狼嚎2	Wolf Creek 2
飆速青春	Whip It
怒火邊界	Sicario
地心冒險2	Journey 2: The Mysterious Island
為你流的淚	Keep The Lights On
尋找夢奇地	Bridge to Terabithia
太極	Taichi 0
綁架	Kidnap
正宗哥吉拉	Godzilla Resurgence 
飢餓遊戲3.2	The Hunger Games: Mockingjay - Part 2
與森林共舞	The Jungle Book 
巴黎小情歌	Love Songs 
代號:華爾奇麗亞	Valkyrie
不願面對的真相	An Inconvenient Truth
女王與知己	Victoria and Abdul
惡靈嬰弒	Devil's Due   
男人行不行2	Think Like a Man Too 
有你,生命最完整	The Best of Me
印象雷諾瓦	Renoir
被遺忘的1937	Nanking
愛情齡距離	Home Again
殺人一舉	The Act of Killing 
丁丁歷險記	The Adventures of Tintin: Secret of the Unicorn
稀人	Marebito
尼魔島	Nim's Island
百貨戰警2	Paul Blart: Mall Cop 2
美國幫派	American Gangster
伊媚兒新娘	Mail Order Wife 
青春誓言	Testament of Youth 
皇家風流史	A Royal Affair
繼父疼死你	The Stepfather 
愛情對白	Certified Copy 
戀夏進行式	The Spectacular Now 
超級狐狸先生	The Fantastic Mr. Fox
情慾二重奏	The Last Mistress 
金牌手	Gambit
聚魔櫃	The Possession
陰兒房	Insidious
全面鎖定	Closed Circuit
醉後大丈夫2	The Hangover Part II
為了與你相遇	A Dog's Purpose 
瞞天殺機	Serena
泰特羅	Tetro
黃金羅盤	Golden Compass
偷穿高跟鞋	In Her Shoes
迷懵夢寐	Martha Marcy May Marlene
傲慢與偏見	Pride and Prejudice
四虎出閘	Four Brothers
傷心往事	House of D 
移動迷宮	The Maze Runner
吹動大麥的風	The Wind That Shakes the Barley
傑克萊恩	Jack Ryan
雲端情人	Her
放逐	Exiled 
浮世傷痕	The Immigrant 
盲目約會	Blind Dating
梭哈人生	A Hologram for the King 
輕輕搖晃	Lilting
世界	The World
失速人生	Locke
愛情你我她	Me and You and Everyone We Know 
渾身是勁2011	Footloose
捉妖記	Monster Hunt
刺客聶隱娘	The Assassin
維多利亞女皇情史	The Young Victoria 
黑道比酷	Be Cool
勇士傳奇	Beowulf & Grendel 
雪天使	Snow Angels
舊夢	Old Joy
純真的聲音	Innocent Voices 
絕地救援	The Martian
前嫌盡弒	Final Girl
下流正義	The Lincoln Lawyer 
姣妹日記	The People I've Slept With 
狡兔計畫	Safe House
鐵達尼號3D版	Titanic 3D
飛機總動員2	Planes: Fire & Rescue
特種部隊2	G.I. Joe 2: Retaliation 
荒島魔咒	Magic Magic 
功夫熊貓3	Kung Fu Panda 3
薩利機長	Sully
顛倒世界	Upside Down
金盞花大酒店2	The Second Best Exotic Marigold Hotel
魔法黑森林	Into the Woods
遠離阿雅米	Ajami
小熊維尼電影版	Winnie the Pooh
未婚媽媽	Stephanie Daley
家傳秘方	The Secret of the Grain 
鬼來電西洋篇	One Missed Call 
星際異攻隊	Guardians of the Galaxy
天倫之旅	Everybody's Fine
禁愛世界	Equals
酷狗馬馬杜	Marmaduke
偽幣製造者	The Counterfeiters 
時尚惡魔的聖經	The September Issue
特務大臨演	The Brothers Grimsby
一千次晚安	A Thousand Times Good Night
奪魂鋸2	Saw 2
吸血鬼腥靈診療	Therapy for a Vampire
洛基6	Rocky Balboa
突變末日	The Mutant Chronicles 
愛情昏迷中	The Big Sick 
交響人生	The Concert 
空中危機	Flightplan
天啟四騎士	The Horsemen
汽車總動員2	Cars 2
震撼擂台	Southpaw
飆風雷哥	Rango
玩命直播	Nerve
愛在頭七天	This is Where I Leave You
看看我聽聽我	Look at Me 
終極警探4	Live Free or Die Hard
邁阿密風雲	Miami Vice
羅丹薩的夜晚	Nights in Rodanthe
我仍在這裡	I'm Still Here
妮嘉	Neerja
博物館驚魂夜	Night at the Museum
妙媳婦見公婆	Junebug 
一路靠北2	Ride Along 2
捉迷藏	Hide and Seek
蘇西的世界	The Lovely Bones 
真實的勇氣	True Grit
星光大盜	The Bling Ring
全境警戒	Bushwick
奇光下的秘密	Wonderstruck
天皇	Emperor
4月3週又2天	4 Months, 3 Weeks and 2 Days 
奧茲大帝	Oz: The Great and Powerful 
吻兩下打兩槍	Kiss Kiss, Bang Bang
鋼鐵力士	Hercules: The Legend Begins 
限時救援	Sleepless
出埃及記	Exodus: Gods and Kings
幻影殺手	Elektra
遺忘故都	The Lost City
亂世傷痕:末代總督的秘密	Viceroy's House 
下一秒	Next
年輕氣盛	Youth
生命之詩	Poetry
他其實沒那麼喜歡妳	He's Just Not That Into You
鬼敲門	The Babadook
孤兒怨	Orphan
美人魚	The Mermaid 
企鵝寶貝	March of the Penguins 
決戰日	Day Watch
柯羅索巨獸	Colossal
隔壁的男孩殺過來	The Boy Next Door 
一飛沖天	Rocket Science
失速夜狂奔	Good Time
屍控奇幻旅程	Swiss Army Man 
婚禮終結者	Wedding Crashers
食破天驚	Cloudy with a Chance of Meatballs
愛在羅馬	To Rome with Love 
功夫之王	The Forbidden Kingdom
性福療程	The Sessions
越野狂飆	Supercross
舞孃俱樂部	Burlesque
原子小金剛	Astro Boy
惡鄰古堡	Straw Dogs
西班牙公寓2	The Russian Dolls
鬼遮眼	Oculus
極速快感	Need For Speed 
心靈獨奏	The Soloist
亡命西伯利亞	Transsiberian
霍爾的移動城堡	Howl's Moving Castle 
斷魂谷	Wind Chill
星際異攻隊2	Guardians of the Galaxy Vol. 2
深海鯊機	47 Meters Down 
非關入學	Admission
三個大丈夫	You Won’t Get to Live Twice
絕地奶霸2	Big Momma's House 2
三月封面女郎	Miss March
泰山傳奇	The Legend of Tarzan
夜行人生	Live by Night 
安娜華特	The Faith of Anna Waters
格雷的五十道陰影3	Fifty Shades Freed 
來信情緣	Dear  Frankie
一日一生	labor day
曾經,樂是唯一	Begin Again
凍死骨	Winter's Bone
小賈斯汀:挑戰不可能	Justin Bieber: Never Say Never
人形蜈蚣3	The Human Centipede 3
小熊出擊	Bad News Bears
玩命關頭6	Fast & Furious 6
碟仙2	Ouija 2
終極戰士3	Predators
如果我留下	If I Stay 
舞力全開5	Step Up All In
魔咒鬼屋	House
一年之癢	I Give It a Year
料理絕配	No Reservations
美國刺客	American Assassin 
怪怪惹人愛	Some Freaks 
殭屍哪有這麼正	Life after Beth
